Data Source,Link
Agricultural Marketing Service,https://www.ams.usda.gov/press-releases
Bureau of Industry and Security,https://efoia.bis.doc.gov/index.php/electronic-foia/index-of-documents
Bureau of Safety and Environmental Enforcement,https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/Civil-Penalties-and-Appeals/
Centers for Medicare & Medicaid Services,https://www.cms.gov/hospital-price-transparency/enforcement-actions
Centers for Medicare & Medicaid Services,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PharmaceuticalManufacturerEnforcementActions.html
Centers for Medicare & Medicaid Services,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html
Centers for Medicare & Medicaid Services,https://data.cms.gov/provider-data/dataset/g6vv-u9sr
Commodity Futures Trading Commission,https://www.cftc.gov/PressRoom/PressReleases/index.htm
Consumer Financial Protection Bureau,http://www.consumerfinance.gov/about-us/newsroom/
Consumer Product Safety Commission,https://www.cpsc.gov/en/Newsroom/News-Releases/
Drug Enforcement Administration,https://www.dea.gov/press-releases
Education Department,https://studentaid.gov/data-center/school/clery-act-reports
Employee Benefits Security Administration,https://www.dol.gov/newsroom/releases?agency=37&state=All&topic=All&year=all
Employee Benefits Security Administration,https://enforcedata.dol.gov/views/data_summary.php
Energy Department Office of Enforcement,https://energy.gov/ea/information-center/enforcement-infocenter
Energy Department Office of General Counsel,https://www.energy.gov/gc/listings/enforcement-news
Environmental Protection Agency,http://cfpub.epa.gov/enforcement/cases/
Environmental Protection Agency,http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm
Environmental Protection Agency,https://echo.epa.gov/facilities/enforcement-case-search
Environmental Protection Agency,http://echo.epa.gov/tools/data-downloads#downloads
Environmental Protection Agency,https://www.justice.gov/enrd/selected-publications/environmental-crimes-monthly-bulletins
Environmental Protection Agency,https://www.epa.gov/newsreleases/search
Equal Employment Opportunity Commission,https://www.eeoc.gov/eeoc/newsroom/index.cfm
Federal Aviation Administration,https://www.faa.gov/news/press_releases/
Federal Aviation Administration,https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/
Federal Communications Commission,https://www.fcc.gov/enforcement#block-menu-block-4
Federal Deposit Insurance Corporation,https://orders.fdic.gov/s/searchform
Federal Election Commission,https://www.fec.gov/data/legal/search/enforcement/
Federal Energy Regulatory Commission,https://www.ferc.gov/enforcement-legal/enforcement/civil-penalties
Federal Energy Regulatory Commission,https://www.ferc.gov/news-events/news/news-releases-headlines
Federal Housing Finance Agency,http://www.fhfa.gov/Media/Pages/News-Releases.aspx
Federal Maritime Commission,https://www.fmc.gov/about-the-fmc/bureaus-offices/bureau-of-enforcement/
Federal Motor Carrier Safety Administration,https://ai.fmcsa.dot.gov/SafetyProgram/spRptEnforcement.aspx?rpt=CLOSE
Federal Railroad Administration,https://www.fra.dot.gov/eLib/Find#p1_z5_lEA
Federal Reserve,https://www.federalreserve.gov/newsevents/press/enforcement/2016enforcement.htm
Federal Trade Commission,https://www.ftc.gov/news-events/press-releases
Financial Industry Regulatory Authority,https://www.finra.org/media-center
Food and Drug Administration,http://www.fda.gov/ICECI/CriminalInvestigations/ucm123086.htm
"Grain Inspection, Packers & Stockyards Administration",https://www.ams.usda.gov/services/enforcement/psd
Health and Human Services Department Office for Civil Rights,https://www.hhs.gov/ocr/newsroom/index.html
Health and Human Services Department Office of Inspector General,https://oig.hhs.gov/fraud/enforcement/cmp/index.asp
